customer_id,age,annual_income,credit_score,loan_amount,existing_loans,loan_default
1,49,29605.62,769.0,17194.35,2,1
2,31,15000.0,593.0,4748.19,1,0
3,58,49802.16,611.0,18636.45,0,1
4,35,69843.04,825.0,22438.0,1,0
5,52,56757.43,780.0,36931.71,1,1
6,47,84529.85,558.0,17322.67,2,0
7,58,67380.32,682.0,29941.38,2,1
8,21,44049.21,679.0,30946.32,3,0
9,61,85164.19,807.0,53265.77,0,0
10,34,71832.42,813.0,32543.87,0,0
11,23,28430.77,704.0,16484.9,4,0
12,50,40148.93,600.0,18431.52,0,0
13,51,50176.45,646.0,35444.87,4,1
14,21,95320.13,535.0,51812.3,2,0
15,34,74802.13,555.0,43353.13,1,0
16,56,39387.59,850.0,31241.16,0,0
17,56,123366.62,656.0,81676.64,1,0
18,63,75721.76,656.0,28136.36,1,1
19,61,36261.99,669.0,24070.14,0,0
20,63,54046.31,689.0,40918.03,3,1
21,35,49652.98,714.0,18721.45,1,1
22,58,43195.64,605.0,29821.39,0,1
23,45,86066.37,801.0,29494.33,0,1
24,64,57451.44,627.0,26451.8,2,0
25,34,78588.57,543.0,48261.54,1,1
26,44,57515.51,570.0,19907.07,1,0
27,63,52816.15,679.0,16498.56,1,0
28,22,48055.08,754.0,22947.56,0,1
29,54,60363.67,744.0,40438.88,0,1
30,43,44421.21,782.0,24765.62,0,0
31,28,59390.56,579.0,36865.43,3,0
32,25,48601.14,785.0,29820.02,0,1
33,49,33112.14,720.0,17440.14,2,0
34,63,52831.63,654.0,20570.85,3,1
35,53,24436.57,620.0,11070.42,2,0
36,40,87118.29,606.0,37319.06,2,1
37,36,70041.69,723.0,17331.24,2,1
38,57,50712.59,686.0,37480.53,1,0
39,57,24624.5,535.0,14408.12,0,0
40,62,60288.44,656.0,43064.84,2,1
41,61,64547.22,646.0,42964.97,2,0
42,44,68367.76,775.0,16475.07,2,0
43,49,44532.43,708.0,14686.09,2,0
44,55,64201.06,646.0,49463.11,0,1
45,29,98212.71,617.0,46863.01,1,0
46,42,49604.02,702.0,34086.11,1,0
47,40,80700.31,629.0,44004.75,1,0
48,60,59716.88,564.0,41451.71,1,1
49,24,57166.12,708.0,36630.05,2,0
50,63,62606.23,674.0,23029.01,1,1
51,56,49271.58,665.0,39157.54,1,1
52,32,62818.36,686.0,31051.9,1,0
53,43,79314.66,724.0,43702.1,1,0
54,59,78050.85,575.0,40919.02,1,1
55,28,82987.6,614.0,60673.0,0,1
56,30,47526.68,798.0,17486.68,0,0
57,43,61155.03,769.0,14495.42,3,0
58,49,103541.82,843.0,47303.67,1,0
59,52,40541.08,743.0,30446.0,0,1
60,34,57773.25,736.0,26782.95,0,1
61,36,35761.85,673.0,13108.04,1,1
62,59,62192.22,560.0,35517.82,1,1
63,37,80835.95,734.0,51939.41,3,0
64,40,94324.86,674.0,45054.65,1,0
65,32,40028.05,544.0,17132.67,0,1
66,29,43464.46,726.0,18198.68,2,0
67,28,91608.42,770.0,41479.15,1,0
68,61,15000.0,616.0,10584.04,2,0
69,57,47219.09,650.0,23115.46,0,0
70,41,79423.16,709.0,30864.92,1,0
71,62,25960.12,609.0,8031.77,2,0
72,52,39021.16,668.0,14421.04,0,1
73,57,85183.46,698.0,40686.85,2,0
74,38,20258.85,744.0,10710.62,2,0
75,49,19465.32,679.0,11151.56,1,0
76,27,76800.9,722.0,18649.38,1,0
77,60,92472.34,664.0,52515.28,6,1
78,57,88664.07,692.0,36458.3,0,1
79,26,15000.0,709.0,5312.73,1,1
80,40,89253.88,482.0,35579.8,1,1
81,29,61579.68,626.0,41300.22,1,0
82,29,43843.99,771.0,29900.41,2,0
83,28,41275.01,518.0,10824.57,1,0
84,37,73990.81,712.0,36758.95,3,1
85,44,68742.52,791.0,35587.94,0,0
86,60,88103.35,771.0,19217.86,1,0
87,43,47480.8,747.0,29924.2,0,1
88,53,50250.59,818.0,21109.09,1,0
89,42,76127.4,778.0,34318.13,0,0
90,42,44151.93,649.0,24988.1,1,1
91,47,76395.61,737.0,36774.11,1,0
92,22,37674.78,569.0,24442.27,0,0
93,51,100765.58,758.0,56178.34,2,1
94,33,99870.1,674.0,33518.5,1,0
95,22,45283.32,766.0,32707.81,1,1
96,27,61249.52,702.0,20180.23,2,1
97,31,62455.42,760.0,39229.48,2,0
98,46,57325.21,691.0,38713.18,0,0
99,41,39975.75,660.0,24503.91,1,0
100,35,62096.22,705.0,28134.72,1,1
101,36,30391.33,558.0,22087.56,2,1
102,29,90733.33,672.0,35986.64,0,0
103,41,92054.08,644.0,56359.72,0,0
104,61,86970.65,570.0,63192.69,0,1
105,26,88370.64,624.0,25915.29,1,1
106,21,74845.83,576.0,44277.38,4,1
107,51,41818.95,557.0,30970.09,2,0
108,25,33725.15,634.0,8830.89,1,1
109,57,38508.98,720.0,11069.48,1,1
110,46,69040.51,560.0,29477.08,0,1
111,21,33254.3,676.0,26489.92,2,1
112,21,63487.43,696.0,21227.75,0,0
113,49,71125.83,671.0,28082.76,0,0
114,42,56308.06,747.0,39475.22,2,0
115,58,60741.47,850.0,16913.22,1,0
116,61,112133.75,812.0,89451.76,1,1
117,39,59365.18,629.0,38190.63,1,1
118,48,68071.94,603.0,52789.94,1,0
119,25,83526.24,643.0,23941.86,1,1
120,41,78101.25,721.0,26512.44,0,0
121,42,76698.64,683.0,32402.48,1,0
122,40,65495.05,684.0,15103.6,0,0
123,32,65551.23,688.0,15497.29,3,0
124,26,23601.63,686.0,17519.32,1,0
125,49,94709.15,701.0,21371.02,1,0
126,60,48149.43,755.0,31295.97,1,0
127,55,77571.52,708.0,48915.47,1,1
128,31,55308.8,592.0,13478.13,1,1
129,53,122295.07,754.0,38227.17,3,0
130,45,43443.86,767.0,20544.18,3,1
131,34,107326.51,668.0,62785.4,3,0
132,49,57450.4,705.0,42369.44,2,1
133,33,74607.43,643.0,38504.83,2,1
134,35,60347.36,618.0,45973.83,1,1
135,28,91714.58,628.0,28812.44,0,1
136,53,62610.97,633.0,35917.91,2,1
137,31,66446.21,795.0,46963.13,1,0
138,35,62064.47,674.0,21101.6,0,1
139,41,71321.41,615.0,48008.38,1,0
140,56,41456.73,661.0,18248.16,2,1
141,26,15800.45,733.0,12636.8,1,0
142,45,69218.56,796.0,17645.95,0,0
143,64,102628.01,723.0,54594.35,2,0
144,21,51778.15,678.0,34682.09,0,0
